id,deal,bookings,amount,create_date,create_quarter,close_date,close_quarter,pipeline,stage,owner,product_group,programmatic,deal_source,source_new,source_free_text,lost_reason,lost_reason_text,competing_against,won_reason,forecast_category,likelihood,link
51821739928,Shawnee State University - MLT New Deal,50.0,0.0,2025-12-14,2025,2026-04-17,Q2,Bookings,Closed Lost,Shawna Granger,Clinical Record Keeping,,,,CLEC2020,No contact,in sequence,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/51821739928
51843283792,Cuyahoga Community College - Nursing-ADN New Deal,30000.0,30000.0,2025-12-14,2025,2026-03-12,Q1,Bookings,Closed Lost,,Clinical Record Keeping,,,,Top 20 OADN/Matrix,,,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/51843283792
51846884160,Concorde Career College - Respiratory Therapy New Deal,50.0,0.0,2025-12-14,2025,2026-03-05,Q1,Bookings,Closed Lost,Mark Moore,Clinical Record Keeping,,,,,,,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/51846884160
51842978129,"Medical University of South Carolina - Charleston - Nursing-BSN, MSN, DNP New Deal",50.0,0.0,2025-12-14,2025,2026-03-12,Q1,Bookings,Closed Lost,Cara Heinrich,Clinical Record Keeping,,,,Matrix,,,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/51842978129
51843234144,"Neosho County Community - Nursing-CNA, PN, ADN New Deal",50.0,0.0,2025-12-14,2025,2026-03-06,Q1,Bookings,Closed Lost,Ron Bright,Clinical Record Keeping,,,,Matrix/OADN Member,Bad timing,,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/51843234144
51846910483,"College of Eastern Idaho - Idaho Falls - Nursing-PN, ADN New Deal",50.0,0.0,2025-12-14,2025,2026-03-06,Q1,Bookings,Closed Lost,Ron Bright,Clinical Record Keeping,,,,Matrix/OADN Member,Bad timing,,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/51846910483
51782085812,ATS Institute of Technology - Nursing-PN New Deal,50.0,0.0,2025-12-14,2025,2026-03-03,Q1,Bookings,Closed Lost,Ron Bright,Clinical Record Keeping,,,,2024 Voicemail,Other,,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/51782085812
51828924342,Prince William County Public Schools - Nursing-LPN New Deal,4000.0,4000.0,2025-12-14,2025,2026-03-10,Q1,Bookings,Closed Lost,Ron Bright,Clinical Record Keeping,,,,2025 Info Request,Bad timing,,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/51828924342
51846886988,Indiana University - South Bend - Nursing - BSN New Deal,9000.0,9000.0,2025-12-14,2025,2026-03-12,Q1,Bookings,Closed Lost,,Clinical Record Keeping,true,,,2025 SIGMA,,REASSIGNED,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/51846886988
51846913095,College of Marin - Medical Assisting ,50.0,0.0,2025-12-14,2025,2026-04-13,Q2,Bookings,Closed Lost,Shawna Granger,Clinical Record Keeping,,,,,Bad timing,not a high priority given some of the other work,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/51846913095
