id,deal,bookings,amount,create_date,create_quarter,close_date,close_quarter,pipeline,stage,owner,product_group,programmatic,deal_source,source_new,source_free_text,lost_reason,lost_reason_text,competing_against,won_reason,forecast_category,likelihood,link
32339070464,Academy of Allied Health Careers - CRM/SIS,64854.0,80853.99,2025-01-22,2025,2026-04-19,Q2,Bookings,7. Closed Won,Noel Suarez,Clinical Record Keeping;Payments;Verity Dialog,,Conference/Trade Show,,,,,Diamond SIS,,CLOSED,,https://app.hubspot.com/contacts/7762472/deal/32339070464
35468577827,AUSTIN CAREER INSTITUTE - CRM and SIS,60000.0,85000.0,2025-04-03,2025,2026-04-27,Q2,Bookings,7. Closed Won,Noel Suarez,Attendance_;Skills Tracker;Verity Dialog,,,,,,,,,CLOSED,,https://app.hubspot.com/contacts/7762472/deal/35468577827
36169134865,San Joaquin Valley College - Clinical Management,20460.0,20460.0,2025-04-24,2025,2026-04-22,Q2,Bookings,7. Closed Won,Jackson Batchelder,Clinical Record Keeping,,CS Product Add-On,,,,,,,CLOSED,,https://app.hubspot.com/contacts/7762472/deal/36169134865
51797650976,Weatherford College - MLT New Deal,1500.0,1500.0,2025-12-14,2025,2026-04-02,Q2,Bookings,7. Closed Won,Mandy Ray,Clinical Record Keeping,,,,Matrix,,,,,CLOSED,,https://app.hubspot.com/contacts/7762472/deal/51797650976
51815285827,Community College of Baltimore County - Baltimore - Medical Assisting,1450.0,1450.0,2025-12-14,2025,2026-05-29,Q2,Bookings,7. Closed Won,Shawna Granger,Clinical Record Keeping,,,,,,,,,CLOSED,,https://app.hubspot.com/contacts/7762472/deal/51815285827
51843185073,Pueblo Community College - Surg Tech New Deal,3300.0,3300.0,2025-12-14,2025,2026-05-18,Q2,Bookings,7. Closed Won,Mark Moore,Clinical Record Keeping,,Cold outreach,,,,,,,CLOSED,,https://app.hubspot.com/contacts/7762472/deal/51843185073
51800408229,"Bakersfield College - Bakersfield - Nursing-ADN, New Deal",45820.0,45820.0,2025-12-14,2025,2026-05-07,Q2,Bookings,7. Closed Won,Ron Bright,Clinical Record Keeping,,Conference/Trade Show,,2025 COADN/OADN Member,,,,,CLOSED,,https://app.hubspot.com/contacts/7762472/deal/51800408229
51801645064,Chattahoochee Technical College - MLT New Deal,2000.0,2000.0,2025-12-14,2025,2026-06-23,Q2,Bookings,7. Closed Won,Mandy Ray,Clinical Record Keeping,,Cold outreach,,NAACLS website,,,,,CLOSED,,https://app.hubspot.com/contacts/7762472/deal/51801645064
51846146674,Southwestern Community College - DA New Deal,2400.0,2400.0,2025-12-14,2025,2026-05-12,Q2,Bookings,7. Closed Won,Mark Moore,Clinical Record Keeping,,Cold outreach,,website,,,,,CLOSED,,https://app.hubspot.com/contacts/7762472/deal/51846146674
51843216793,Houston Community College - Nursing-LVN,16000.0,16000.0,2025-12-14,2025,2026-06-16,Q2,Bookings,7. Closed Won,Mandy Ray,Clinical Record Keeping,,,,Matrix,,,,,CLOSED,,https://app.hubspot.com/contacts/7762472/deal/51843216793
